а/ч	ампер-час
АСОЖ	автоматическая система обеспечения жизнедеятельности
АСПО	асфальтосмолопарафиновые отложения
АСПР	автоматизированная система плановых расчётов
АССР	Автономная Советская Социалистическая Республика
АСУ	автоматизированная система управления
АТБ	авиационно-техническая база
АТО	автотормозное оборудование
АТР	Азиатско-Тихоокеанский регион
АТС	автоматическая телефонная станция
АТФ	аденозинтрифосфат (носитель энергии в живом организме)
АТЭС	Азиатско-Тихоокеанское экономическое сотрудничество
АТЭЦ	атомная теплоэлектроцентраль
АУГ	авианесущая ударная группировка
АФАР	активная фазированная антенная решётка
Афган	Афганистан
АФП	Агентство Франс Пресс
АФС	антенно-фидерная система
АХ	Академия художеств
АХО	административно-хозяйственный отдел
АХОВ	аварийно химически опасное вещество
АХОВ ИД	аварийно химически опасное вещество ингаляционного действия
АХОВ КРД	аварийно химически опасное вещество кожно-резорбтивного действия
АХОВ ПД	аварийно химически опасное вещество перорального действия
АХР	административно-хозяйственная работа
АХРР	Ассоциация художников революционной России
АХУ	административно-хозяйственное управление
АХЧ	административно-хозяйственная часть
АЦПУ	алфавитно-цифровое печатающее устройство
АЧС	африканская чума свиней
АЧФ	астрономические часы Федченко
АЧХ	амплитудно-частотная характеристика
АШ	алмазосодержащая шихта
АЯ	аномальное явление
б/к	боекомплект
б/у	бывший в употреблении
БАД	биологически активная добавка
БАК	Большой адронный коллайдер
БАН	Библиотека Академии Наук
БАС	боковой амиотрофический склероз
БАТ	биологически активная точка
БВК	белково-витаминный концентрат
БГТО	Будь готов к труду и обороне
БГУ	Белорусский государственный университет
БДК	большой десантный корабль
БЗН	блоки зажимов наборных
БИН	Ботанический институт им. В. Л. Комарова	
биообъект	биологический обьект
биоробот	биологический робот
БИП	боевой информационный пост
БКЗ	большой концертный зал
БЛУГА	Бугурусланское лётное училище гражданской авиации
БМВ	Баварские моторные заводы
БМД	боевая машина десанта
БМП	боевая машина пехоты
БОВ	боеприпас объёмного взрыва
бомж	малоимущий человек без определённого местожительства и работы
БОФ	безопалубочное формование
БПК	большой противолодочный корабль
БПЛА	беспилотный летательный аппарат
БРАВ	береговые ракетно-артиллерийские войска
БРИКС	Бразилия Россия Индия Китай Южно-Африканская Республика
бронекапсула	броневая капсула
БССР	Белорусская Советская Социалистическая Республика
БТА	большой телескоп альтазимутальный
БТИ	бюро технической инвентаризации
БТК	биткойн
БТР	боевая бронированная машина
БУ	бомбоубежище
БУР	барак усиленного режима
Бутырка	Бутырская тюрьма
БХСС	борьба с хищениями социалистической собственности
БЭР	биологический эквивалент рентгена
БЮТ	блок Юлии Тимошенко
ВАЗ	Волжский автомобильный завод
ВВ	взрывчатые вещества
ВВК	военно-врачебная комиссия
ВВО	Восточный военный округ
ВВП	внутренний валовый продукт
ВВС	военно-воздушные силы
ВВЭР	водо-водяной энергетический реактор
ВДВ	Воздушно-десантные войска
ВДНХ	Выставка достижений народного хозяйства
вещдок	вещественное доказательство
вещмешок	вещевой мешок
ВЗ	Ветхий Завет
вибростойкий	
ВИИ	Военно-инженерный институт
ВИНК	вертикально-интегрированная нефтяная компания
ВИЧ	вирус иммунодефицита человека
ВК	Властелин колец

